Date,BBG_metals,BBG_agriculture,BBG_gold,BBG_silver,BBG_gas,CBOE_vix,CBOE_skew,ML_move_1M_volindex,ML_move_3M_volindex,RUSS3000_value,RUSS3000_growth,ISHARES_midcapetf,ISHARES_smallcapetf,US_EUR,US_GBP,US_AUS,US_CHF,US_YUAN,US_INDI,US_CAD
2004-07-02,153.642,116.763,109.514,143.27,127662.0,15.08,117.92,94.7,98.99,772.08,380.73,19.9767,14.9775,1.23005,1.8273,0.71395,0.8113,0.120785,2.18574,0.75517
2004-07-05,153.642,116.763,109.514,143.27,127662.0,0.0,117.92,94.7,98.99,772.08,380.73,19.9767,14.9775,1.22725,1.8281,0.71205,0.8081,0.120748,2.18341,0.75392
2004-07-06,154.327,116.572,107.965,142.458,133485.0,16.25,116.9,91.1,96.99,767.33,375.86,19.8867,14.77,1.22725,1.8399,0.71365,0.8086,0.120783,2.176749,0.75358
2004-07-07,157.466,117.555,110.634,145.917,132477.8,15.81,118.86,95.0,93.16,768.62,376.64,19.9167,14.8325,1.23625,1.8542,0.72325,0.81405,0.120748,2.182409,0.75652
2004-07-08,157.407,115.744,112.149,153.308,128681.6,16.2,114.23,94.4,94.36,761.82,372.73,19.85,14.715,1.24005,1.8579,0.72045,0.81705,0.120781,2.186509,0.75947
2004-07-09,158.599,115.278,112.071,154.266,127942.6,15.78,115.32,97.1,95.75,764.61,373.89,19.7433,14.6375,1.2389,1.8536,0.72205,0.8155,0.120781,2.191489,0.75844
2004-07-12,157.365,115.824,112.22,155.88,122151.4,14.96,119.97,97.5,97.89,766.84,373.22,19.7433,14.515,1.24065,1.8637,0.72735,0.81685,0.120782,2.189859,0.75873
2004-07-13,156.612,114.623,110.555,152.311,123044.4,14.46,121.25,103.8,102.95,767.04,373.54,19.8267,14.61,1.23235,1.8566,0.72475,0.8086,0.120782,2.182119,0.75832
2004-07-14,156.899,117.034,111.439,157.559,124681.2,13.76,115.3,102.2,103.03,766.4,371.4,19.8167,14.605,1.23895,1.8564,0.72385,0.814,0.120744,2.179119,0.75574
2004-07-15,157.207,115.497,111.116,158.78,121875.6,14.71,117.12,99.6,101.26,764.35,370.2,19.8833,14.5875,1.23715,1.8532,0.72255,0.81025,0.120744,2.16873,0.75546
2004-07-16,158.616,114.95,111.775,160.263,122582.6,14.34,120.52,99.7,99.43,762.62,366.96,19.9233,14.535,1.24455,1.873,0.73155,0.8162,0.120783,2.177939,0.76231
2004-07-19,157.625,115.59,111.514,157.302,121190.9,15.17,123.42,95.3,97.06,764.37,365.58,19.85,14.5625,1.24225,1.8709,0.7325,0.81345,0.120783,2.17089,0.76458
2004-07-20,156.643,115.28,110.508,157.594,121464.1,14.17,125.86,97.2,96.09,768.69,369.68,19.9866,14.745,1.23775,1.8538,0.72785,0.80795,0.120782,2.170659,0.76179
2004-07-21,155.084,112.054,109.202,152.785,123369.9,16.41,116.85,93.7,97.53,759.08,362.9,19.8833,14.4575,1.22245,1.836,0.71485,0.79635,0.120748,2.167319,0.75649
2004-07-22,155.972,110.213,108.66,153.22,128148.9,15.75,118.15,91.9,96.19,758.78,364.42,19.59,14.3,1.22715,1.8473,0.71515,0.8024,0.120785,2.16155,0.75919
2004-07-23,151.535,111.367,107.299,151.247,127967.6,16.5,117.91,90.5,95.09,754.15,359.16,19.44,14.245,1.21175,1.8329,0.70925,0.7914,0.120785,2.15899,0.75683
