Date,AE_0,AE_1,AE_2
2004-07-05,0.48014402,0.3681469,0.5543563
2004-07-06,0.49190983,0.37210986,0.5600286
2004-07-07,0.47860262,0.40858093,0.61904573
2004-07-08,0.50745755,0.39512372,0.5960252
2004-07-09,0.48161566,0.3722695,0.56107396
2004-07-12,0.478783,0.37815806,0.5709505
2004-07-13,0.47000837,0.3436708,0.51354027
2004-07-14,0.5025521,0.40489215,0.6116324
2004-07-15,0.4767244,0.36083087,0.54236925
2004-07-16,0.47104442,0.38909534,0.5891747
2004-07-19,0.46863785,0.36314735,0.5468842
2004-07-20,0.45616207,0.34836516,0.52272147
2004-07-21,0.5120905,0.33626,0.49736997
2004-07-22,0.4768602,0.36904213,0.556094
2004-07-23,0.48987508,0.35056454,0.5239011
2004-07-26,0.49852106,0.36942047,0.55507314
2004-07-27,0.45966285,0.34565157,0.51776993
2004-07-28,0.47994483,0.37746462,0.5697307
2004-07-29,0.46281782,0.3699676,0.5586999
2004-07-30,0.48057115,0.37419266,0.564321
2004-08-02,0.47485808,0.37827963,0.5714455
2004-08-03,0.48913983,0.39005294,0.58934927
2004-08-04,0.48499313,0.36835998,0.554341
2004-08-05,0.5256087,0.39082083,0.5878503
2004-08-06,0.52058655,0.4105185,0.61895245
2004-08-09,0.47676718,0.36483076,0.54908246
2004-08-10,0.44596002,0.3592055,0.54199475
2004-08-11,0.46260098,0.33825037,0.5046732
2004-08-12,0.51325864,0.38989604,0.5872991
2004-08-13,0.47923958,0.40393427,0.61186
2004-08-16,0.4450973,0.36537573,0.55242306
2004-08-17,0.48759523,0.3830725,0.57826513
2004-08-18,0.4587923,0.3628556,0.54715025
2004-08-19,0.47614634,0.39512023,0.5983416
2004-08-20,0.46590766,0.3679772,0.55516064
2004-08-23,0.4953361,0.36385888,0.546036
2004-08-24,0.46431643,0.33923364,0.50625855
2004-08-25,0.4598706,0.36556244,0.55159897
2004-08-26,0.48277742,0.36925316,0.55599356
2004-08-27,0.46669772,0.34976894,0.5243202
2004-08-30,0.5083334,0.39975587,0.6032317
2004-08-31,0.48258117,0.39870712,0.6034924
2004-09-01,0.4738772,0.37940028,0.57334495
2004-09-02,0.44969893,0.34849882,0.5234527
2004-09-03,0.44063926,0.32245865,0.47844508
2004-09-06,0.47891214,0.37427074,0.56457525
2004-09-07,0.43626875,0.33787364,0.5060634
2004-09-08,0.5074572,0.38663408,0.58251196
2004-09-09,0.46884528,0.3678603,0.55474174
2004-09-10,0.47210643,0.38476282,0.5821551
2004-09-13,0.48024365,0.37089315,0.55890405
2004-09-14,0.46710905,0.37453514,0.56590587
2004-09-15,0.49611253,0.3664572,0.5503239
2004-09-16,0.46153393,0.36769485,0.5550256
2004-09-17,0.48500288,0.36874014,0.5549721
2004-09-20,0.47309583,0.36754566,0.55389357
2004-09-21,0.4595233,0.39430928,0.5983002
2004-09-22,0.5093633,0.38936618,0.5867444
2004-09-23,0.5053932,0.39517286,0.59625596
2004-09-24,0.44930616,0.34726766,0.5213629
2004-09-27,0.50432926,0.4029398,0.6084815
2004-09-28,0.46387222,0.3641779,0.54897696
2004-09-29,0.47358665,0.379219,0.5730719
2004-09-30,0.4757752,0.40116692,0.60782737
2004-10-01,0.44180426,0.35185793,0.52982867
2004-10-04,0.4672609,0.33418518,0.4971817
2004-10-05,0.48594037,0.40289333,0.60975856
2004-10-06,0.47422642,0.38021854,0.5746487
2004-10-07,0.5055837,0.37783453,0.5683973
2004-10-08,0.48228663,0.40338117,0.6107817
2004-10-11,0.47220188,0.36413687,0.5482701
2004-10-12,0.47491178,0.33987874,0.50656545
2004-10-13,0.49726182,0.34311345,0.51047254
2004-10-14,0.51035833,0.40535095,0.6117691
2004-10-15,0.4607953,0.3843678,0.5823708
2004-10-18,0.4674582,0.35024878,0.52508515
2004-10-19,0.5072642,0.40093502,0.60514987
2004-10-20,0.4852024,0.3977633,0.601822
2004-10-21,0.4568351,0.3648542,0.55064845
2004-10-22,0.48963872,0.38004163,0.57319844
2004-10-25,0.48429748,0.40276998,0.6096881
2004-10-26,0.45846367,0.36339533,0.54808086
2004-10-27,0.4565001,0.35854968,0.5400724
2004-10-28,0.4743652,0.36476624,0.54915816
2004-10-29,0.477397,0.38639462,0.58437955
2004-11-01,0.47189146,0.35380125,0.5308213
2004-11-02,0.47308707,0.35336328,0.52998185
2004-11-03,0.44124615,0.38381106,0.58295363
2004-11-04,0.45369464,0.38494608,0.58383656
2004-11-05,0.46351063,0.388172,0.5882657
2004-11-08,0.49172267,0.38373318,0.57902205
2004-11-09,0.47592443,0.36957258,0.55704546
2004-11-10,0.46450102,0.36377114,0.5482473
2004-11-11,0.4636333,0.36852384,0.556243
2004-11-12,0.4623142,0.38314047,0.58027834
